sip,Count
"183.160.44.19",243
"137.189.240.184",26
"179.86.135.158",25
"59.63.207.90",18
"130.61.75.123",17
"14.199.175.123",12
"191.207.202.234",12
"115.88.201.58",7
"144.217.79.237",6
"164.15.228.73",6
"27.191.235.90",5
"96.1.24.156",5
"101.182.138.125",5
"117.71.53.105",5
"51.255.171.209",4
"82.236.117.58",4
"90.177.236.221",4
"106.75.13.93",4
"178.128.175.98",4
"204.48.23.15",4
"220.95.232.46",4
"91.217.34.129",3
"110.65.147.254",3
"121.254.217.98",3
"129.150.89.19",3
"174.90.202.1",3
"181.143.142.170",3
"203.130.240.103",3
"41.77.13.189",2
"51.15.143.212",2
"54.36.225.205",2
"61.76.169.138",2
"64.34.202.161",2
"77.231.66.164",2
"81.142.80.97",2
"107.170.205.36",2
"112.137.129.223",2
"119.192.239.192",2
"159.65.163.112",2
"172.92.230.5",2
"182.253.36.142",2
"185.109.55.63",2
"191.29.56.12",2
"192.169.7.114",2
"211.184.24.121",2
"219.93.20.155",2
"219.245.18.215",2
"5.67.134.90",1
"14.186.141.200",1
